Message,Target
crust not good .,0
not tasty texture nasty .,0
stop late bank holiday Rick Steve recommendation love .,1
selection menu great price .,1
get angry want damn pho .,0
honeslty taste fresh . ),0
potato like rubber tell ahead time keep warmer .,0
fry great .,1
great touch .,1
service prompt .,1
not .,0
cashier no care end wayyy overpriced .,0
"try Cape Cod ravoli , chicken , cranberry ... mmmm !",1
disgusted pretty sure human hair .,0
shocked no sign indicate cash only .,0
highly recommend .,1
waitress little slow service .,0
"place not worth time , let Vegas .",0
not like .,0
Burrittos Blah !,0
"food , amazing .",1
service cute .,1
care ... interior beautiful .,1
perform .,1
right .... red velvet cake ..... ohhh stuff good .,1
never bring salad ask .,0
"hole wall great mexican street taco , friendly staff .",1
"take hour food only 4 table restaurant food Luke warm , sever run like totally overwhelmed .",0
bad salmon sashimi .,0
"combo like burger , fry , beer 23 decent deal .",1
like final blow !,0
find place accident not happy .,1
"like good quick place grab bite familiar pub food , but favor look .",0
"overall , like place lot .",1
only redeem quality restaurant inexpensive .,1
ample portion good price .,1
"poor service , waiter feel like stupid time come table .",0
visit Hiro delight !,1
service suck .,0
shrimp tender moist .,1
not deal good drag establishment .,0
hard judge side good gross melt styrofoam want eat fear get sick .,0
"positive note , server attentive provide great service .",1
"frozen puck disgust , bad people register .",0
only thing like prime rib dessert section .,1
bad food damn generic .,0
"burger good beef , cook right .",1
want sandwich Firehouse ! ! ! ! !,1
"greek salad Greek dressing tasty , pita hummus refreshing .",1
order duck rare pink tender inside nice char outside .,1
came run realize husband leave sunglass table .,1
chow mein good !,1
"horrible attitude customer , talk customer enjoy food .",0
portion huge !,1
"love ... friendly server , great food , wonderful imaginative menu .",1
Heart Attack Grill downtown Vegas absolutely flat - line excuse restaurant .,0
not seafood like 5 string pasta .,0
"salad right sauce not power scallop , perfectly cook .",1
"rip banana not only rip , but petrified tasteless .",0
think refill water struggle wave 10 minute .,0
place receive star appetizer ! ! !,1
cocktail handmade delicious .,1
definitely .,1
glad find place .,1
"great food service , huge portion military discount .",1
great time Dos Gringos !,1
update ..... go second time amazing,1
get food apparently never hear salt batter fish chewy .,0
great way finish great .,1
"deal include 5 tasting 2 drink , Jeff go expect .",1
# ?,1
service meh .,0
"take 30 min milkshake , chocolate milk .",0
"guess know place suck , inside Excalibur , but use common sense .",0
scallop dish appalling value .,0
2 time - Bad Customer Service !,0
sweet potato fry good season .,1
today second time lunch buffet pretty good .,1
good food Vegas feel cheat waste eat opportunity go Rice Company .,0
come like experience underwhelming relationship party wait person ask break .,0
walk place smell like old grease trap only 2 eat .,0
turkey roast beef bland .,0
place !,1
pan cake rave taste like sugary disaster tailor palate year old .,0
love Pho spring roll oh yummy try .,1
poor batter meat ratio chicken tender unsatisfying .,0
food amazing ! ! !,1
omelet die !,1
fresh delicious !,1
"summary , largely disappointing dining experience .",0
"like sexy party mouth , outrageously flirt hot person party .",1
"never Hard Rock Casino , never step forward !",0
good breakfast buffet ! ! !,1
bye bye tip lady !,0
never .,0
!,1
food arrive quickly !,1
not good .,0
", cafe serve good food .",1
"server fantastic find wife love roasted garlic bone marrow , add extra meal marrow !",1
"only good thing waiter , helpful keep bloddy mary come .",1
"Best Buffet town , price not beat .",1
"love mussel cook wine reduction , duck tender , potato dish delicious .",1
well buffet .,1
go Tigerlilly fantastic afternoon !,1
"food delicious , bartender attentive personable get great deal !",1
ambience wonderful music play .,1
trip .,1
sooooo good ! !,1
"real sushi lover , let honest - Yama not good .",0
"40min pass ordering food arrive , busy .",0
fantastic Thai restaurant definitely worth visit .,1
"nice , spicy tender .",1
good price .,1
check .,1
pretty gross !,0
well atmosphere .,0
kind hard mess steak but .,0
"like look sound place , actual experience bit disappointing .",0
know place manage serve bland food eat prepare indian cuisine .,0
"bad service boot , but worry .",0
service fine waitress friendly .,1
"guy steak , steak love son steak good bad place say good steak eat .",1
"think venture away good sushi , but place hit spot night .",1
"host staff , lack well word , BITCHES !",0
Bland ... not like place number reason want waste time bad reviewing .. leave ...,0
"phenomenal food , service ambiance .",1
return .,0
"definitely worth venture strip pork belly , return time Vegas .",1
place way overpriced mediocre food .,0
Penne vodka excellent !,1
"good selection food include massive meatloaf sandwich , crispy chicken wrap , delish tuna melt tasty burger .",1
management rude .,0
"Delicious NYC bagel , good selection cream cheese , real Lox caper .",1
"Great Subway , fact good come Subway not meet expectation .",1
seriously solid breakfast .,1
good bar food Vegas .,1
"extremely rude , restaurant love dine weekend Vegas .",0
drink never great menu suggestion .,1
! ! ! !,0
waiter helpful friendly rarely check .,0
husband eat lunch disappointed food service .,0
red curry bamboo shoot tasty .,0
nice blanket moz but feel like cover subpar food .,1
bathroom clean place decorate .,1
"menu change , food quality go & service extremely slow .",0
"service little slow , consider serve 3 people server food come slow pace .",0
2 thumb,0
watch waiter pay lot attention table ignore .,0
fiancã © come middle day greet seat right away .,1
great restaurant Mandalay Bay .,1
wait minute vain .,0
Crostini come salad stale .,0
highlight : great quality nigiri !,1
staff friendly joint clean .,1
different cut piece day but wonderful tender s flavor .,1
order Voodoo pasta time excellent pasta going gluten free year ago .,1
place good .,1
"unfortunately , hit bakery leftover day order STALE .",0
come today relocate not impressed .,0
seat immediately .,1
"menu diverse , reasonably price .",1
avoid cost !,0
restaurant but never wait .,1
DELICIOUS ! !,1
place hand - good place eat Phoenix metro area .,1
look good food ...,0
never treat bad .,0
Bacon hella salty .,1
order spinach avocado salad ; ingredient sad dressing literally zero taste .,0
"Vegas fine dining , right menu hand lady no price list .",1
waitress friendly .,1
"Lordy , Khao Soi dish not miss curry lover !",1
menu terrific thrilled amazing accommodation vegetarian daughter .,1
"catch night judge review , but not inspire .",0
service leave lot desire .,0
"atmosphere modern hip , maintain touch coziness .",1
"not weekly haunt , but definitely place come .",1
literally sit 20 minute no ask order .,0
"burger absolutely no flavor - meat totally bland , burger overcooked no charcoal flavor .",0
decide not send waitress look like verge have heart attack .,0
dress treat rudely !,0
probably dirt .,0
"love place , hit spot want healthy but not lack quantity flavor .",1
order Lemon raspberry ice cocktail incredible .,1
"food suck , expect but suck imagine .",0
interesting decor .,1
like crepe station .,1
"serve hot bread butter , home potato chip bacon bit .... original good .",1
watch prepare delicious food ! ),1
egg roll fantastic .,1
"order arrive , gyro miss .",0
"salad wing , ice cream dessert leave feel satisfied .",1
not sure Joey vote good hot dog Valley reader Phoenix Magazine .,0
good place tasty bowl Pho !,1
live music Fridays totally blow .,0
never insult feel disrespect .,0
friendly staff .,1
worth drive .,1
"hear good thing place , but exceed hope dream .",1
food great serivce !,1
warm beer help .,0
great brunch spot .,1
service friendly invite .,1
good lunch spot .,1
live 1979 ( ) time step foot place .,0
bad experience .,0
night place .,0
"side delish - mix mushroom , yukon gold puree , white corn - beateous .",1
